id;nome;telefone;telefone_adicional;cnh;sexo
1;Card;transform;generating enterprise Surinam;Avenida virtual;F
2;Madeira;AGP Savings local;incubate;matrix transmit;M
3;transmitter;matrix digital bottom-line;Re-engineered;feed;F
4;Auto Fantástico;Bedfordshire;Switchable Macio;Product;M
5;Granito;background;invoice;cinza East;F
6;Pernambuco seamless;Índia;Queijo withdrawal auxiliary;sensor multi-state calculate;F
7;Carro Account;bandwidth;synergize framework;Investment Atum Orchestrator;M
8;synergy Jóias Avenida;do Mesa;Legacy;Rondônia Quality-focused Sem;M
9;Loan;Avenida Algodão Eletrônicos;Borracha evolve Rodovia;Administrator Account;F
10;Sul;Dollar utilisation navigate;grená Corporate;Applications Customer primary;F
