id;nome;telefone;telefone_adicional;insc_estadual;cnpj
1;Robust;user Genérico envisioneer;time-frame solid syndicate;orchestration compressing;primary indexing
2;sexy digital Account;Dynamic;Eletrônicos capacitor;Operative Guadalupe initiatives;functionalities Pedro
3;Livros;Proactive;Marrocos Rua;Borders Director invoice;Fiji
4;extend Architect;Account Granito;overriding programming Salada;deliverables Innovative;Applications mão Checking
5;Sudão;bricks-and-clicks;Identity Avenida User-friendly;full-range data-warehouse hack;Sergipe invoice
6;Cook Mato;Salada Borracha Granito;web-enabled SMS concept;Filipinas;coral
7;verde-azulado;Avon Sapatos forecast;mesh;bi-directional Innovative mesh;Micronésia Strategist Marginal
8;preto Fundamental Salsicha;array firewall bypass;Luvas Frango púrpura;navigate digital;Concreto
9;Ceará Synchronised;Lead 1080p;bleeding-edge Computadores;Cambridgeshire;Directives Ilhas Grosso
10;bricks-and-clicks;Marginal;cobre;Bola Latvia;hierarchy
